 -0.000018, -0.000000,  9.800699
 -0.035385,  0.042571,  9.797055
 -0.070823,  0.085049,  9.793111
 -0.106330,  0.127429,  9.788868
 -0.141901,  0.169705,  9.784326
 -0.177503,  0.211871,  9.779488
 -0.213163,  0.253921,  9.774351
 -0.248838,  0.295848,  9.768921
 -0.284565,  0.337647,  9.763194
 -0.320284,  0.379313,  9.757177
 -0.356049,  0.420838,  9.750866
 -0.391785,  0.462218,  9.744269
 -0.427559,  0.503446,  9.737381
 -0.463284,  0.544518,  9.730211
 -0.499038,  0.585425,  9.722753
 -0.534722,  0.626166,  9.715020
 -0.570427,  0.666730,  9.707003
 -0.606040,  0.707117,  9.698717
 -0.641667,  0.747316,  9.690151
 -0.677179,  0.787328,  9.681323
 -0.712696,  0.827141,  9.672221
 -0.748077,  0.866756,  9.662864
 -0.783453,  0.906161,  9.653239
 -0.818671,  0.945360,  9.643368
 -0.853876,  0.984336,  9.633234
 -0.888901,  1.023097,  9.622863
 -0.923902,  1.061626,  9.612238
 -0.958701,  1.099931,  9.601385
 -0.993468,  1.137992,  9.590284
 -1.028009,  1.175823,  9.578966
 -1.062509,  1.213399,  9.567409
 -1.096762,  1.250738,  9.555646
 -1.130962,  1.287812,  9.543652
 -1.164894,  1.324641,  9.531463
 -1.198763,  1.361197,  9.519053
 -1.232343,  1.397501,  9.506460
 -1.265849,  1.433523,  9.493655
 -1.299043,  1.469288,  9.480681
 -1.332155,  1.504762,  9.467505
 -1.364933,  1.539974,  9.454172
 -1.397618,  1.574887,  9.440647
 -1.429949,  1.609534,  9.426980
 -1.462176,  1.643874,  9.413133
 -1.494029,  1.677944,  9.399156
 -1.525767,  1.711700,  9.385011
 -1.557111,  1.745183,  9.370750
 -1.588330,  1.778346,  9.356333
 -1.619136,  1.811234,  9.341815
 -1.649806,  1.843795,  9.327153
 -1.680044,  1.876079,  9.312405
 -1.710136,  1.908032,  9.297524
 -1.739778,  1.939707,  9.282573
 -1.769264,  1.971046,  9.267502
